,teamID,gifName,timeOnExample,selfExplanation,openingTime,closingTime,userID
0,a_1,"""spawn_enemies""",0.0,No Explanation,2020-06-30 13:11:09,2020-06-30 13:11:09,a_1_0
1,a_1,"""spawn_enemies""",47.0,No Explanation,2020-06-30 13:11:12,2020-06-30 13:11:59,a_1_0
2,a_1,"""spawn_enemies""",49.0,"
Create columns of sprites and change the x position so they are not on top of each other. When the clone is created it will go to the current x and y position.",2020-06-30 13:13:02,2020-06-30 13:13:51,a_1_0
3,a_1,"""spawn_enemies""",30.0,"
Create columns of sprites and change the x position so they are not on top of each other. When the clone is created it will go to the current x and y position.",2020-06-30 13:15:20,2020-06-30 13:15:50,a_1_0
4,a_1,"""hit_remove""",4.0,No Explanation,2020-06-30 15:09:48,2020-06-30 15:09:52,a_1_0
5,a_1,"""markout""",7.0,No Explanation,2020-06-30 13:57:27,2020-06-30 13:57:34,a_1_1
6,a_1,"""hit_remove""",183.0,No Explanation,2020-06-30 13:57:43,2020-06-30 14:00:46,a_1_1
7,a_1,"""paddle""",8.0,No Explanation,2020-06-30 14:01:00,2020-06-30 14:01:08,a_1_1
8,a_2,"""hit_remove""",34.0,No Explanation,2020-06-30 13:24:55,2020-06-30 13:25:29,a_2_0
9,a_2,"""keymove""",3.0,No Explanation,2020-06-30 11:08:31,2020-06-30 11:08:34,a_2_1
10,a_2,"""spawn_enemies""",5310.0,"
The repeat blocks the inside does a row and the outside creates multiple rows",2020-06-30 11:23:09,2020-06-30 12:51:39,a_2_1
11,a_2,"""paddle""",59.0,the angles are supplementary,2020-06-30 13:16:34,2020-06-30 13:17:33,a_2_1
12,a_3,"""paddle""",57.0,"
The angle between the paddle and incoming trajectory is the same as the paddle and outgoing trajectory",2020-06-30 13:20:54,2020-06-30 13:21:51,a_3_0
13,a_3,"""paddle""",32.0,"
The angle between the paddle and incoming trajectory is the same as the paddle and outgoing trajectory",2020-06-30 13:24:31,2020-06-30 13:25:03,a_3_0
14,a_3,"""paddle""",6.0,No Explanation,2020-06-30 14:46:26,2020-06-30 14:46:32,a_3_0
15,a_4,"""spawn_enemies""",222.0,"It uses multiple repeat blocks to create the rows, then changes the y value to create columns of clones.",2020-06-30 13:24:37,2020-06-30 13:28:19,a_4_1
16,a_4,"""move_free""",33.0,No Explanation,2020-06-30 14:06:01,2020-06-30 14:06:34,a_4_1
17,a_4,"""markout""",82.0,No Explanation,2020-06-30 15:47:12,2020-06-30 15:48:34,a_4_1
18,a_5,"""enemies_move""",28.0,No Explanation,2020-06-30 13:55:10,2020-06-30 13:55:38,a_5_1
19,a_5,"""enemies_move""",4.0,No Explanation,2020-06-30 13:56:12,2020-06-30 13:56:16,a_5_1
20,a_5,"""enemies_move""",4.0,No Explanation,2020-06-30 13:56:18,2020-06-30 13:56:22,a_5_1
21,a_5,"""move_fixed""",9.0,No Explanation,2020-06-30 13:56:51,2020-06-30 13:57:00,a_5_1
22,a_5,"""enemies_move""",4.0,No Explanation,2020-06-30 14:01:20,2020-06-30 14:01:24,a_5_1
23,a_5,"""spawn_enemies""",33.0,No Explanation,2020-06-30 14:02:09,2020-06-30 14:02:42,a_5_1
24,a_5,"""hit_remove""",12.0,No Explanation,2020-06-30 14:05:17,2020-06-30 14:05:29,a_5_1
25,a_6,"""collision_explosion""",34.0,No Explanation,2020-06-30 13:39:50,2020-06-30 13:40:24,a_6_0
26,a_6,"""collision_explosion""",132.0,No Explanation,2020-06-30 13:41:02,2020-06-30 13:43:14,a_6_0
27,a_6,"""move_with_mouse""",13.0,No Explanation,2020-06-30 13:45:24,2020-06-30 13:45:37,a_6_0
28,a_6,"""move_with_mouse""",14.0,No Explanation,2020-06-30 13:46:38,2020-06-30 13:46:52,a_6_0
29,a_6,"""move_with_mouse""",4.0,No Explanation,2020-06-30 13:46:55,2020-06-30 13:46:59,a_6_0
30,a_6,"""move_with_mouse""",14.0,No Explanation,2020-06-30 13:47:04,2020-06-30 13:47:18,a_6_0
31,a_6,"""move_with_mouse""",6.0,No Explanation,2020-06-30 13:47:24,2020-06-30 13:47:30,a_6_0
32,a_6,"""move_with_mouse""",49.0,No Explanation,2020-06-30 13:47:32,2020-06-30 13:48:21,a_6_0
33,a_6,"""paddle""",273.0,No Explanation,2020-06-30 13:48:55,2020-06-30 13:53:28,a_6_0
34,a_6,"""collision_explosion""",87.0,No Explanation,2020-07-01 13:01:18,2020-07-01 13:02:45,a_6_0
35,a_6,"""shoot_bullets""",21.0,No Explanation,2020-07-01 13:03:45,2020-07-01 13:04:06,a_6_0
36,a_6,"""shoot_bullets""",39.0,No Explanation,2020-07-01 13:04:15,2020-07-01 13:04:54,a_6_0
37,a_6,"""collision_explosion""",147.0,No Explanation,2020-07-01 13:10:32,2020-07-01 13:12:59,a_6_0
38,a_6,"""collision_explosion""",60.0,No Explanation,2020-07-01 13:13:32,2020-07-01 13:14:32,a_6_0
39,a_6,"""spawn_enemies""",128.0,No Explanation,2020-07-01 14:32:02,2020-07-01 14:34:10,a_6_0
40,a_6,"""spawn_enemies""",54.0,No Explanation,2020-07-01 14:37:36,2020-07-01 14:38:30,a_6_0
41,a_6,"""spawn_enemies""",44.0,No Explanation,2020-07-01 14:39:06,2020-07-01 14:39:50,a_6_0
42,a_6,"""spawn_enemies""",22.0,No Explanation,2020-07-01 14:42:36,2020-07-01 14:42:58,a_6_0
43,a_6,"""collision_explosion""",26.0,No Explanation,2020-07-01 14:44:33,2020-07-01 14:44:59,a_6_0
44,a_6,"""collision_explosion""",96.0,No Explanation,2020-07-01 14:45:09,2020-07-01 14:46:45,a_6_0
45,a_6,"""collision_explosion""",112.0,No Explanation,2020-07-01 14:51:02,2020-07-01 14:52:54,a_6_0
46,a_6,"""collision_explosion""",58.0,No Explanation,2020-07-01 14:53:30,2020-07-01 14:54:28,a_6_0
47,a_6,"""shoot_in_intervals""",112.0,No Explanation,2020-07-01 15:00:45,2020-07-01 15:02:37,a_6_0
48,a_6,"""move_free""",11.0,No Explanation,2020-06-30 11:17:47,2020-06-30 11:17:58,a_6_1
49,a_6,"""start_button""",1.0,No Explanation,2020-06-30 12:59:03,2020-06-30 12:59:04,a_6_1
50,a_6,"""spawn_enemies""",446.0,"
The code creates the effect seen in the animation because the x and y positions are changed with each clone, and the repeat block is used.
",2020-06-30 13:06:24,2020-06-30 13:13:50,a_6_1
51,a_6,"""collision_explosion""",396.0,No Explanation,2020-06-30 13:14:47,2020-06-30 13:21:23,a_6_1
52,a_6,"""asteroid_alien_move""",22.0,No Explanation,2020-06-30 13:50:03,2020-06-30 13:50:25,a_6_1
53,a_6,"""shoot_in_intervals""",6.0,No Explanation,2020-06-30 13:50:37,2020-06-30 13:50:43,a_6_1
54,a_6,"""asteroid_alien_move""",54.0,The code moves randomly because a random block is used,2020-06-30 13:50:49,2020-06-30 13:51:43,a_6_1
55,a_6,"""hit_remove""",31.0,the clone is deleted when touching ball,2020-06-30 14:29:33,2020-06-30 14:30:04,a_6_1
56,a_6,"""hit_remove""",14.0,the clone is deleted when touching ball,2020-06-30 14:30:10,2020-06-30 14:30:24,a_6_1
57,a_6,"""hit_remove""",5.0,the clone is deleted when touching ball,2020-06-30 14:30:33,2020-06-30 14:30:38,a_6_1
58,a_6,"""hit_remove""",3.0,the clone is deleted when touching ball,2020-06-30 14:30:42,2020-06-30 14:30:45,a_6_1
59,a_6,"""game_over""",11.0,No Explanation,2020-06-30 14:31:01,2020-06-30 14:31:12,a_6_1
60,a_6,"""collision_explosion""",133.0,No Explanation,2020-06-30 14:43:31,2020-06-30 14:45:44,a_6_1
61,a_6,"""collision_change_score""",158.0,No Explanation,2020-06-30 14:59:49,2020-06-30 15:02:27,a_6_1
62,a_6,"""enemies_move""",14.0,No Explanation,2020-06-30 15:07:13,2020-06-30 15:07:27,a_6_1
63,a_6,"""game_over""",17.0,No Explanation,2020-06-30 15:27:53,2020-06-30 15:28:10,a_6_1
64,a_6,"""collision_change_score""",47.0,No Explanation,2020-06-30 15:28:59,2020-06-30 15:29:46,a_6_1
65,a_6,"""asteroid_alien_move""",43.0,The code moves randomly because a random block is used,2020-06-30 15:29:54,2020-06-30 15:30:37,a_6_1
66,a_6,"""spawn_enemies""",78.0,The animation creates a clone by changing x and using the create a clone block.,2020-07-01 12:46:32,2020-07-01 12:47:50,a_6_1
67,a_6,"""spawn_enemies""",119.0,The animation creates a clone by changing x and using the create a clone block.,2020-07-01 12:52:52,2020-07-01 12:54:51,a_6_1
68,a_6,"""spawn_enemies""",82.0,The animation creates a clone by changing x and using the create a clone block.,2020-07-01 12:59:04,2020-07-01 13:00:26,a_6_1
69,a_6,"""enemies_move""",47.0,No Explanation,2020-07-01 13:01:54,2020-07-01 13:02:41,a_6_1
70,a_6,"""shoot_in_intervals""",81.0,the code shoots randomly from a fixed position because a variable has been created for the bullet,2020-07-01 13:11:36,2020-07-01 13:12:57,a_6_1
71,a_6,"""shoot_in_intervals""",306.0,the code shoots randomly from a fixed position because a variable has been created for the bullet,2020-07-01 13:13:02,2020-07-01 13:18:08,a_6_1
72,a_6,"""spawn_enemies""",6.0,The animation creates a clone by changing x and using the create a clone block.,2020-07-01 13:20:20,2020-07-01 13:20:26,a_6_1
73,a_6,"""spawn_enemies""",25.0,The animation creates a clone by changing x and using the create a clone block.,2020-07-01 13:20:37,2020-07-01 13:21:02,a_6_1
74,a_6,"""shoot_in_intervals""",3.0,the code shoots randomly from a fixed position because a variable has been created for the bullet,2020-07-01 13:22:04,2020-07-01 13:22:07,a_6_1
75,a_6,"""shoot_in_intervals""",60.0,the code shoots randomly from a fixed position because a variable has been created for the bullet,2020-07-01 13:22:14,2020-07-01 13:23:14,a_6_1
76,a_6,"""bullet_wrap_gravity""",97.0,No Explanation,2020-07-01 13:23:23,2020-07-01 13:25:00,a_6_1
77,a_6,"""spawn_enemies""",19.0,The animation creates a clone by changing x and using the create a clone block.,2020-07-01 13:25:49,2020-07-01 13:26:08,a_6_1
78,a_6,"""shoot_in_intervals""",2.0,the code shoots randomly from a fixed position because a variable has been created for the bullet,2020-07-01 13:41:50,2020-07-01 13:41:52,a_6_1
79,a_6,"""shoot_in_intervals""",227.0,the code shoots randomly from a fixed position because a variable has been created for the bullet,2020-07-01 13:42:01,2020-07-01 13:45:48,a_6_1
80,a_6,"""bullet_wrap_gravity""",4.0,No Explanation,2020-07-01 14:16:52,2020-07-01 14:16:56,a_6_1
81,a_6,"""bullet_wrap""",14.0,No Explanation,2020-07-01 14:17:19,2020-07-01 14:17:33,a_6_1
82,a_6,"""keymove""",6.0,No Explanation,2020-07-01 14:17:59,2020-07-01 14:18:05,a_6_1
83,a_6,"""hit_remove""",69.0,No Explanation,2020-07-01 14:18:34,2020-07-01 14:19:43,a_6_1
84,a_6,"""hit_remove""",99.0,No Explanation,2020-07-01 14:21:22,2020-07-01 14:23:01,a_6_1
85,a_6,"""spawn_enemies""",216.0,The animation creates a clone by changing x and using the create a clone block.,2020-07-01 14:43:28,2020-07-01 14:47:04,a_6_1
86,a_7,"""move_free""",1.0,No Explanation,2020-06-30 13:14:17,2020-06-30 13:14:18,a_7_0
87,a_7,"""move_free""",10.0,No Explanation,2020-06-30 13:14:30,2020-06-30 13:14:40,a_7_0
88,a_7,"""move_free""",68.0,No Explanation,2020-06-30 13:14:43,2020-06-30 13:15:51,a_7_0
89,a_7,"""paddle""",586.0,No Explanation,2020-06-30 13:16:03,2020-06-30 13:25:49,a_7_0
90,a_7,"""hit_remove""",397.0,No Explanation,2020-06-30 13:26:26,2020-06-30 13:33:03,a_7_0
91,a_7,"""move_free""",50.0,No Explanation,2020-06-30 13:15:16,2020-06-30 13:16:06,a_7_1
92,a_7,"""paddle""",103.0,No Explanation,2020-06-30 13:16:16,2020-06-30 13:17:59,a_7_1
93,a_7,"""spawn_enemies""",344.0,No Explanation,2020-06-30 13:32:59,2020-06-30 13:38:43,a_7_1
94,a_7,"""spawn_enemies""",4.0,No Explanation,2020-06-30 14:17:06,2020-06-30 14:17:10,a_7_1
95,a_7,"""spawn_enemies""",18.0,No Explanation,2020-06-30 14:17:12,2020-06-30 14:17:30,a_7_1
96,a_7,"""spawn_enemies""",0.0,No Explanation,2020-06-30 14:17:33,2020-06-30 14:17:33,a_7_1
97,a_7,"""spawn_enemies""",62.0,No Explanation,2020-06-30 14:17:36,2020-06-30 14:18:38,a_7_1
98,b_1,"""shoot_in_intervals""",23.0,No Explanation,2020-07-01 14:22:24,2020-07-01 14:22:47,b_1_0
99,b_1,"""shoot_in_intervals""",127.0,No Explanation,2020-07-01 14:22:51,2020-07-01 14:24:58,b_1_0
100,b_1,"""enemies_move""",83.0,No Explanation,2020-07-01 13:26:02,2020-07-01 13:27:25,b_1_1
101,b_1,"""shoot_bullets""",419.0,No Explanation,2020-07-01 14:22:25,2020-07-01 14:29:24,b_1_1
102,b_1,"""shoot_bullets""",3.0,No Explanation,2020-07-01 14:29:26,2020-07-01 14:29:29,b_1_1
103,b_1,"""bullet_wrap_gravity""",2.0,No Explanation,2020-07-01 14:29:33,2020-07-01 14:29:35,b_1_1
104,b_1,"""shoot_in_intervals""",9.0,No Explanation,2020-07-01 14:29:39,2020-07-01 14:29:48,b_1_1
105,b_2,"""spawn_enemies""",8.0,No Explanation,2020-07-01 11:19:21,2020-07-01 11:19:29,b_2_0
106,b_2,"""shoot_bullets""",22.0,No Explanation,2020-07-01 11:19:40,2020-07-01 11:20:02,b_2_0
107,b_2,"""spawn_enemies""",248.0,"Because it produces 5 rows and 10 columns and keep repeating creating a clone of itseof while changing the position for each clone
",2020-07-01 12:56:28,2020-07-01 13:00:36,b_2_0
108,b_2,"""enemies_move""",62.0,No Explanation,2020-07-01 13:14:17,2020-07-01 13:15:19,b_2_0
109,b_2,"""enemies_move""",5.0,No Explanation,2020-07-01 13:15:21,2020-07-01 13:15:26,b_2_0
110,b_2,"""enemies_move""",108.0,No Explanation,2020-07-01 13:15:28,2020-07-01 13:17:16,b_2_0
111,b_2,"""shoot_bullets""",17.0,No Explanation,2020-07-01 13:22:03,2020-07-01 13:22:20,b_2_0
112,b_2,"""shoot_bullets""",115.0,No Explanation,2020-07-01 13:25:50,2020-07-01 13:27:45,b_2_0
113,b_2,"""move_fixed""",20.0,No Explanation,2020-07-01 13:15:35,2020-07-01 13:15:55,b_2_1
114,b_2,"""hit_remove""",200.0,No Explanation,2020-07-01 13:38:56,2020-07-01 13:42:16,b_2_1
115,b_2,"""bullet_wrap_gravity""",8.0,No Explanation,2020-07-01 14:13:40,2020-07-01 14:13:48,b_2_1
116,b_2,"""bullet_wrap""",10.0,No Explanation,2020-07-01 14:13:59,2020-07-01 14:14:09,b_2_1
117,b_4,"""hit_remove""",225.0,"The inner create s row of 8 bricks and then repeats that 4 times

",2020-07-01 13:59:42,2020-07-01 14:03:27,b_4_0
118,b_4,"""shoot_bullets""",29.0,No Explanation,2020-07-01 14:06:21,2020-07-01 14:06:50,b_4_0
119,b_5,"""shoot_bullets""",124.0,"
The code uses logic to create a copy of the bullet as long as the space key is pressed in a continuous loop.",2020-07-01 12:50:00,2020-07-01 12:52:04,b_5_0
120,b_5,"""move_free""",65.0,It resets the location of the sprite and then repeatedly and randomly faces new directions and moves,2020-07-01 13:04:04,2020-07-01 13:05:09,b_5_0
121,b_5,"""collision_explosion""",10.0,No Explanation,2020-07-01 13:39:38,2020-07-01 13:39:48,b_5_0
122,b_5,"""move_fixed""",24.0,No Explanation,2020-07-01 13:39:58,2020-07-01 13:40:22,b_5_0
123,b_5,"""move_free""",33.0,No Explanation,2020-07-01 13:59:11,2020-07-01 13:59:44,b_5_0
124,b_5,"""collision_explosion""",22.0,No Explanation,2020-07-01 14:14:57,2020-07-01 14:15:19,b_5_0
125,b_6,"""move_with_mouse""",52.0,No Explanation,2020-07-01 11:27:26,2020-07-01 11:28:18,b_6_0
126,b_6,"""shoot_bullets""",151.0,No Explanation,2020-07-01 11:28:49,2020-07-01 11:31:20,b_6_0
127,b_6,"""spawn_enemies""",21.0,No Explanation,2020-07-01 11:32:20,2020-07-01 11:32:41,b_6_0
128,b_6,"""spawn_enemies""",217.0,No Explanation,2020-07-01 11:38:13,2020-07-01 11:41:50,b_6_0
129,b_6,"""enemies_move""",10.0,No Explanation,2020-07-01 13:01:04,2020-07-01 13:01:14,b_6_0
130,b_6,"""hit_remove""",14.0,No Explanation,2020-07-01 13:19:00,2020-07-01 13:19:14,b_6_0
131,b_6,"""shoot_bullets""",17.0,No Explanation,2020-07-01 13:23:53,2020-07-01 13:24:10,b_6_0
132,b_6,"""shoot_in_intervals""",20.0,No Explanation,2020-07-01 13:24:34,2020-07-01 13:24:54,b_6_0
133,b_6,"""shoot_in_intervals""",172.0,No Explanation,2020-07-01 13:24:58,2020-07-01 13:27:50,b_6_0
134,b_6,"""game_over""",14.0,No Explanation,2020-07-01 13:47:25,2020-07-01 13:47:39,b_6_0
135,b_6,"""shoot_bullets""",113.0,No Explanation,2020-07-01 14:38:16,2020-07-01 14:40:09,b_6_0
